#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
b8bc4dc2f80aab386e218aef51c547aa	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales	Anaerococcus	Anaerococcus_hydrogenalis
a7ae12287632b76fbe48378af90c2578	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SC-I-84	SC-I-84	
c7bef5d41e3d8215c0fd688e0a63f5c3	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
3cb3b5a52d62194082d2eb3879bb4130	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Nitratireductor	Nitratireductor_basaltis
a8fa3b42516ae895c89081d9305b9c57	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Litoreibacter	Litoreibacter_arenae
ed63f5e964171177198c8e3dd28da3ea	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	
3cf91e1f60bf4fb9b9650c938d236896	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
45d0a47d210b2be8f0fb374e454a91e1	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae		
171706badcc2f69e887dc9b50d834f78	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium_variabile
b40db8b850085bd1dbec5ca58ba2d1f6	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Leptotrichia_hofstadii
b536a0f4c94b87452f200c113f75df8e	Bacteria	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	
cc9eb4e1ac2c27aaf930e202789f3b7b	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	uncultured	
6c1ba6d3a813285382692325c6d12cda	Bacteria	Proteobacteria	Gammaproteobacteria	Granulosicoccales	uncultured	uncultured	uncultured_gamma
37018993f0915409445a4f434242533d	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Simkaniaceae	uncultured	uncultured_Chlamydia
4f0b3db2bb474a0a8f6ec189eff4ad33	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Halobacteriovorax	
e9de57bb3f4a0dad30602804d286b08a	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A_clade	KI89A_clade	KI89A_clade	uncultured_bacterium
a5d4e45276aa24670dc44a820261297e	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria	
4daa40cd47502a3c9b0aaecc8958e06b	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga_gingivalis
311d9d6b790f53c0e1da4b5908c681a7	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
5e0e2aecb03ff016b682891b2b305e11	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Criblamydiaceae		
f0eacef182a1c48cc8d19a3fa2abd1af	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS3a_marine_group	
0a8821c1d769d539b6df2109f4c9484b	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Thalassotalea	
8518afa100aaab41a2c98cfa17f45278	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
e43a64c62a0f8d0173f60894b9064443	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium_hominis
9cb36acf33db37911f4702a26f0419b7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubribacterium	uncultured_Alphaproteobacteria
6d49d5ece3a6b493147758622cf7ef96	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Ekhidna	Ekhidna_sp.
17af464fc94a3add29b76c3712820875	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Algicola	Algicola_bacteriolytica
31073a8e91b3ec071a09aab15dcb2d89	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_III	Clade_III	
3513369bb4e5b0287c8403f20439d21e	Bacteria	Proteobacteria	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	Granulosicoccus	
b1cfb6c7fb6c0ad070e9e1ba9a5f95a3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudophaeobacter	
