#NAME,SRR17045222,SRR17045223,SRR17045226,SRR17045227
ASV_10808,0,0,1,5
ASV_10809,0,0,0,4
ASV_1081,0,0,27,0
ASV_10810,0,0,0,4
ASV_10811,0,0,0,5
ASV_10812,0,0,0,6
ASV_10813,0,0,0,5
ASV_10814,0,1,0,8
ASV_10815,1,1,0,6
ASV_10816,0,0,0,5
ASV_10817,0,0,0,3
ASV_10818,0,0,0,4
ASV_10819,0,0,0,4
ASV_1082,0,0,26,0
ASV_10820,0,0,0,5
ASV_10821,0,0,0,3
ASV_10822,0,0,0,4
ASV_10823,0,0,0,4
ASV_10824,0,0,0,4
ASV_10825,1,0,0,6
ASV_10826,0,0,0,3
ASV_10827,1,1,0,8
ASV_10828,0,1,0,5
ASV_10829,1,0,0,3
ASV_1083,0,0,32,0
ASV_10830,0,0,0,6
ASV_10831,0,0,0,6
ASV_10832,0,0,0,4
ASV_10833,0,0,0,4
ASV_10834,0,1,2,5
ASV_10835,0,0,0,4
ASV_10836,1,0,1,4
ASV_10837,0,0,0,3
ASV_10838,0,0,0,3
ASV_10839,0,0,0,3
ASV_1084,0,0,31,0
ASV_10840,0,0,0,3
ASV_10841,0,0,0,3
ASV_10842,0,1,0,6
ASV_10843,0,0,0,4
ASV_10844,0,1,0,9
